train_end,test_end,base_auc,base_acc,base_dummy_acc,base_pos_rate,base_best_threshold,base_bal_acc,base_logloss,base_conf_threshold,base_mean_strat_ret,base_sharpe,base_trade_rate,base_avg_trade_ret,base_hit_rate,tcn_auc,tcn_acc,tcn_bal_acc,tcn_logloss,tcn_best_threshold,tcn_mean_strat_ret,tcn_sharpe,tcn_trade_rate,tcn_avg_trade_ret,tcn_hit_rate
2022-08-03,2022-10-05,0.5398785425101215,0.5176767676767676,0.6717171717171717,0.3282828282828283,0.575,0.5151243493348756,0.7980998383732576,0.7,-0.0027565434015102332,-0.8990992354842611,0.21464646464646464,-0.012842249258800616,0.43529411764705883,0.5646616541353383,0.5631313131313131,0.5273279352226721,0.7219623774591303,0.575,-0.007849649642604364,-1.7452232529008147,0.38636363636363635,-0.020316740251446593,0.35947712418300654
2022-10-05,2022-12-07,0.4581448252945838,0.4898989898989899,0.5227272727272727,0.5227272727272727,0.5499999999999999,0.48677248677248675,0.8033590978935292,0.7,-0.0005968299710266512,-0.12280019339114419,0.21717171717171718,-0.002748193820076207,0.47674418604651164,0.5675689492114613,0.553030303030303,0.5506096158270071,0.7054806266823634,0.6,0.0017002636673149913,0.2146041919464199,0.5555555555555556,0.0030604746011669843,0.5681818181818182
2022-12-07,2023-02-08,0.447595488411815,0.46296296296296297,0.6111111111111112,0.6111111111111112,0.5499999999999999,0.46042053184910325,0.7666833154964585,0.7,-0.0008011617009277831,-0.26705500951273975,0.14285714285714285,-0.0056081319064944825,0.5370370370370371,0.5384162322937833,0.5185185185185185,0.549165120593692,0.6953295277273798,0.575,0.007690135899733249,1.1008699672155464,0.373015873015873,0.020616109007795518,0.6737588652482269
2023-02-08,2023-04-12,0.6188404983724324,0.5762273901808785,0.6098191214470284,0.6098191214470284,0.5499999999999999,0.5726372207879672,0.6652483036410444,0.7,0.00257170656880436,1.0443599182929961,0.1937984496124031,0.013270005895030497,0.64,0.5317656302615333,0.5193798449612403,0.5248344370860927,0.7156648672342086,0.525,0.005725000864901479,1.5419616671873095,0.4806201550387597,0.011911695347940173,0.6344086021505376
2023-04-12,2023-06-14,0.5418626827717736,0.5151515151515151,0.7222222222222222,0.7222222222222222,0.575,0.5272727272727273,0.6760026817174478,0.7,0.0040187578096442895,1.4202275899055006,0.17424242424242425,0.023064175255349834,0.7971014492753623,0.508836617927527,0.5353535353535354,0.5272727272727272,0.6549021742335593,0.5499999999999999,0.013899954869024905,2.5344852326941685,0.5303030303030303,0.026211343467304103,0.7428571428571429
2023-06-14,2023-08-16,0.5186067680445492,0.5116279069767442,0.524547803617571,0.4754521963824289,0.5499999999999999,0.5197312058256587,0.7502705422204713,0.7,0.00018729433627575007,0.05578932651928527,0.26098191214470284,0.0007176525558288641,0.46534653465346537,0.47619940029985003,0.49612403100775193,0.4985944527736132,0.7338631392935987,0.5499999999999999,0.0005992948657140157,0.1372664633542863,0.5503875968992248,0.0010888596855930708,0.47417840375586856
2023-08-16,2023-10-18,0.4316816816816817,0.46464646464646464,0.5606060606060606,0.5606060606060606,0.5499999999999999,0.45914880397639013,0.7845257945556521,0.7,-0.0012042669703761187,-0.4774106334581671,0.20454545454545456,-0.005887527410727692,0.4567901234567901,0.3513772393082738,0.43434343434343436,0.4122398260329295,0.7569247111505705,0.525,-0.0027424663017812517,-0.5794814662584449,0.6717171717171717,-0.004082769381599157,0.49624060150375937
2023-10-18,2023-12-20,0.5907731614551578,0.553030303030303,0.6742424242424242,0.6742424242424242,0.5499999999999999,0.5503440466858287,0.664533271534375,0.7,0.002679722732460106,1.2049651582213625,0.13383838383838384,0.020022079284041545,0.7358490566037735,0.4881398252184769,0.547979797979798,0.48850274366344393,0.6764957363580958,0.525,0.0070807265916754385,1.4980394455298933,0.6666666666666666,0.010621089887513159,0.6666666666666666
2023-12-20,2024-02-21,0.5082565893934583,0.5365853658536586,0.6368563685636857,0.6368563685636857,0.5499999999999999,0.5126865671641792,0.706691713227425,0.7,0.0017232792438813295,0.5802701341880042,0.16531165311653118,0.010424426901511649,0.6721311475409836,0.6150206414734837,0.6314363143631436,0.5727214988885361,0.6509526057573605,0.525,0.01272520811309073,2.18362784271603,0.7344173441734417,0.017326943888304355,0.6826568265682657
2024-02-21,2024-04-24,0.551941049604601,0.5303030303030303,0.5404040404040404,0.5404040404040404,0.5499999999999999,0.5231077333881072,0.7125153864419574,0.7,0.0028685234238215477,0.7043743935026471,0.21212121212121213,0.013523038998015869,0.6190476190476191,0.503876964157338,0.5050505050505051,0.49481359761733595,0.7009093874244936,0.525,0.001592168347805295,0.3171117257251284,0.6262626262626263,0.0025423333295600675,0.5362903225806451
